config,label,strategy,documents,corpus_chars,corpus_tokens,chunks,chunks_per_document,tokens_mean,tokens_median,tokens_std,tokens_p05,tokens_p95,tokens_max,body_tokens_median,header_overhead,over_512_tokens,redundancy,corpus_coverage,content_coverage,clean_start,clean_end,clean_both,single_section,single_unit,sections_per_chunk,body_matches,build_seconds,index_size_mb
A,Dữ liệu cũ + recursive,recursive,22,293172,83357,362,16.454545454545453,345.6353591160221,360.0,51.0173263657742,230.1,397.0,429,271.5,0.2516304347826087,0.0,1.1233129791139316,1.0,1.0,1.0,1.0,1.0,,,,1.0,12.682650899980217,7.591817855834961
B,Dữ liệu mới + recursive,recursive,25,335439,96027,420,16.8,334.70952380952383,346.0,59.992351931303986,184.95,403.0,431,270.0,0.24274779837527916,0.0,1.1085736303331355,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.17142857142857143,1.8142857142857143,1.0,14.089296200021636,8.775832176208496
C,Dữ liệu mới + structure,structure,25,335439,96027,743,29.72,167.835800807537,150,66.56930498118247,94.0,317.79999999999995,399,97,0.30817468845728213,0.0,0.8984139877326168,0.9176610978520287,1.0,0.9744279946164199,1.0,0.9744279946164199,1.0,1.0,1.0,1.0,15.127897300000768,11.135233879089355
