config,chunk_id,source,heading_path,start,end,tokens,body_tokens,chars,clean_start,clean_end,sections,units
A,29fa5e0c-dd58-43ad-bb1f-be6044ed10b5,corn/corn_common_rust.txt,,2406,3348,376,291,1156,True,True,,
A,7802e5d4-d4a4-4840-ac5d-aba038c72cfd,corn/corn_common_rust.txt,,3286,4246,352,267,1174,True,True,,
A,3ef3230b-9b24-4fa0-955c-af01198444ad,corn/corn_common_rust.txt,,4108,5047,354,269,1153,True,True,,
A,3013cb1f-8356-4b6b-afc1-b5b4b54f852e,corn/corn_common_rust.txt,,4905,5842,325,240,1151,True,True,,
A,ed513cd0-25b9-4654-80d4-1d5c9b9743ef,corn/corn_common_rust.txt,,5766,6445,267,182,893,True,True,,
A,389d0d10-3120-48e2-8771-fc10134e0d84,corn/corn_common_rust.txt,,6297,7286,350,265,1203,True,True,,
A,e5a34a17-be14-4bba-83f9-5df24a990ad9,corn/corn_common_rust.txt,,7151,8094,349,264,1157,True,True,,
A,d0c30e48-fd00-4d74-bbc7-609c38f1442e,corn/corn_common_rust.txt,,8055,9028,373,288,1187,True,True,,
A,faf949a7-58f6-49e5-8290-b6f1be8a2f96,corn/corn_common_rust.txt,,8981,9978,370,285,1211,True,True,,
A,c4d4f584-f3a7-4752-b384-d034b640d92f,corn/corn_common_rust.txt,,9850,10843,382,297,1207,True,True,,
A,044ffdc1-0bc8-48ee-9e3c-dc9ace61e603,corn/corn_common_rust.txt,,10733,11689,371,286,1170,True,True,,
A,2281e1c6-d51a-452d-8b48-55a4a893db15,corn/corn_common_rust.txt,,11691,12052,184,99,575,True,True,,
A,be919a9d-2821-4c3b-978e-21a8ac16f98d,corn/corn_common_rust.txt,,12054,13017,362,277,1177,True,True,,
A,290e36db-9314-406a-8faf-e38c266d6b6b,corn/corn_common_rust.txt,,12888,13205,181,96,531,True,True,,
A,cd477668-4f78-4492-8300-dbc4e890d90f,corn/corn_gray_leaf_spot.txt,,0,999,393,306,1186,True,True,,
A,a0d76c93-644f-425c-8d1d-8c39661bd691,corn/corn_gray_leaf_spot.txt,,863,1815,340,253,1139,True,True,,
A,0f3e0871-24d3-43db-bc6e-300a6695a339,corn/corn_gray_leaf_spot.txt,,1704,2626,320,233,1109,True,True,,
