config,mode,queries,hit_at_1,hit_at_1_ci,recall_at_4,recall_at_4_ci,coverage_at_4,coverage_at_4_ci,rr_at_10,rr_at_10_ci,ndcg_at_4,ndcg_at_4_ci,ndcg_at_10,ndcg_at_10_ci,precision_at_4,precision_at_4_ci,evidence_density_at_4,evidence_density_at_4_ci,doc_hit_at_1,doc_hit_at_1_ci,doc_recall_at_4,doc_recall_at_4_ci,doc_precision_at_4,doc_precision_at_4_ci,recall_budget_1024,recall_budget_1024_ci,recall_budget_1536,recall_budget_1536_ci,context_tokens_at_4,context_tokens_at_4_ci,wrong_section_at_4,wrong_section_at_4_ci,context_tokens_at_4_median,context_tokens_at_4_p95,latency_ms_median,latency_ms_p95,required_context_recall_at_4,required_context_queries
A,hybrid,58,0.5862068965517241,"[0.46551724137931033, 0.7068965517241379]",0.8448275862068966,"[0.7413793103448276, 0.9310344827586207]",0.8634941744144992,"[0.7772413793103448, 0.9403907261386372]",0.7168308702791463,"[0.6212643678160921, 0.8057922824302133]",0.7565843170677021,"[0.6654090505907914, 0.8398291652728646]",0.8023406352904343,"[0.733810646861302, 0.8672757505057211]",0.2672413793103448,"[0.23275862068965517, 0.3017241379310345]",0.049147118213763746,"[0.041234723538953306, 0.057367171729571294]",0.9827586206896551,"[0.9482758620689655, 1.0]",1.0,"[1.0, 1.0]",0.875,"[0.8232758620689655, 0.9224137931034483]",0.7672413793103449,"[0.6551724137931034, 0.8706896551724138]",0.8275862068965517,"[0.7241379310344828, 0.9137931034482759]",1414.448275862069,"[1389.9306034482759, 1436.4310344827586]",2.4310344827586206,"[2.2241379310344827, 2.6379310344827585]",1417.0,1531.75,23.12984998570755,28.125739959068596,1.0,4
A,semantic,58,0.4827586206896552,"[0.3620689655172414, 0.603448275862069]",0.7844827586206896,"[0.6724137931034483, 0.8793103448275862]",0.8143040899695422,"[0.7166573375985937, 0.9055297111606532]",0.6354406130268199,"[0.5344803639846742, 0.7315205938697317]",0.6772938342890938,"[0.5825676191956648, 0.7677183482010376]",0.7374120787943093,"[0.6646075213031724, 0.8092548214120359]",0.23706896551724138,"[0.20689655172413793, 0.2672413793103448]",0.04583418742499389,"[0.03811952462249328, 0.05388795476778661]",0.9137931034482759,"[0.8448275862068966, 0.9827586206896551]",0.9655172413793104,"[0.9137931034482759, 1.0]",0.7844827586206896,"[0.7112068965517241, 0.8491379310344828]",0.6896551724137931,"[0.5689655172413793, 0.8103448275862069]",0.7844827586206896,"[0.6724137931034483, 0.8793103448275862]",1427.9827586206898,"[1404.3275862068965, 1450.5702586206896]",2.189655172413793,"[1.896551724137931, 2.4482758620689653]",1421.0,1548.35,15.00130002386868,17.01839502202347,1.0,4
A,bm25,58,0.5344827586206896,"[0.41379310344827586, 0.6551724137931034]",0.7758620689655172,"[0.6724137931034483, 0.8793103448275862]",0.7945286571731198,"[0.6896551724137931, 0.8900458985524303]",0.6562465790914066,"[0.554255097153804, 0.7542302955665026]",0.6821577793729378,"[0.5791744743239328, 0.779497765643311]",0.7468360215730233,"[0.6709533291520191, 0.8217897465690907]",0.23706896551724138,"[0.19827586206896552, 0.27155172413793105]",0.04475914466113605,"[0.03670410837445134, 0.05294518993995337]",0.9310344827586207,"[0.8620689655172413, 0.9827586206896551]",0.9827586206896551,"[0.9482758620689655, 1.0]",0.8663793103448276,"[0.8103448275862069, 0.9181034482758621]",0.6551724137931034,"[0.5344827586206896, 0.7758620689655172]",0.7758620689655172,"[0.6551724137931034, 0.8793103448275862]",1396.6896551724137,"[1369.4987068965518, 1422.5866379310344]",2.5172413793103448,"[2.2758620689655173, 2.7586206896551726]",1400.5,1531.3,7.220149971544743,8.692679926753044,1.0,4
B,hybrid,58,0.5689655172413793,"[0.4482758620689655, 0.6896551724137931]",0.9310344827586207,"[0.8620689655172413, 0.9827586206896551]",0.9528001265339808,"[0.8965440312766814, 0.9951680210849989]",0.7201354679802955,"[0.6307471264367815, 0.8060344827586207]",0.8108247742870761,"[0.7411765011243587, 0.8734367489651923]",0.8356741748236083,"[0.7825151820771037, 0.8881340097287537]",0.28879310344827586,"[0.2629310344827586, 0.31896551724137934]",0.053813390343350156,"[0.04697287667252166, 0.06117929030824585]",1.0,"[1.0, 1.0]",1.0,"[1.0, 1.0]",0.8879310344827587,"[0.8448275862068966, 0.9267241379310345]",0.8189655172413793,"[0.7155172413793104, 0.9051724137931034]",0.9310344827586207,"[0.8620689655172413, 0.9827586206896551]",1374.396551724138,"[1344.8099137931035, 1404.0862068965516]",2.396551724137931,"[2.206896551724138, 2.586206896551724]",1382.0,1529.15,27.733300055842847,31.146389996865764,1.0,4
B,semantic,58,0.5689655172413793,"[0.4482758620689655, 0.6896551724137931]",0.853448275862069,"[0.7586206896551724, 0.9310344827586207]",0.8984078244455884,"[0.8265778152652022, 0.960510158512296]",0.6966201423097975,"[0.6026813081554462, 0.7902339901477832]",0.7641301081386638,"[0.6803573583112454, 0.8401540047168883]",0.7967314321563753,"[0.7285173718514931, 0.8608283958901017]",0.27155172413793105,"[0.24568965517241378, 0.2974137931034483]",0.05021885508830904,"[0.04358591652565089, 0.05744261677986506]",0.9655172413793104,"[0.9137931034482759, 1.0]",0.9655172413793104,"[0.9137931034482759, 1.0]",0.8146551724137931,"[0.75, 0.875]",0.7155172413793104,"[0.5948275862068966, 0.8275862068965517]",0.853448275862069,"[0.7586206896551724, 0.9310344827586207]",1381.7758620689656,"[1352.7228448275862, 1411.0866379310344]",2.1724137931034484,"[1.9310344827586208, 2.413793103448276]",1386.5,1524.6,16.216050018556416,18.4924450062681,1.0,4
B,bm25,58,0.5517241379310345,"[0.43103448275862066, 0.6724137931034483]",0.8189655172413793,"[0.7155172413793104, 0.9137931034482759]",0.847137193669203,"[0.7551831706806973, 0.9310344827586207]",0.6686781609195402,"[0.5673850574712643, 0.7643714080459769]",0.7243217265737665,"[0.6339658002794123, 0.8108218753337716]",0.7778691812637336,"[0.7057374807206327, 0.8437691535475043]",0.25862068965517243,"[0.22413793103448276, 0.29310344827586204]",0.049146681973137034,"[0.041310405836424854, 0.05725631806760777]",0.9655172413793104,"[0.9137931034482759, 1.0]",1.0,"[1.0, 1.0]",0.8405172413793104,"[0.7801724137931034, 0.896551724137931]",0.6896551724137931,"[0.5689655172413793, 0.8103448275862069]",0.8189655172413793,"[0.7155172413793104, 0.9051724137931034]",1359.0172413793102,"[1329.8271551724138, 1388.344827586207]",2.3275862068965516,"[2.0517241379310347, 2.603448275862069]",1354.0,1529.15,8.930150070227683,10.220765002304688,1.0,4
C,hybrid,58,0.6724137931034483,"[0.5517241379310345, 0.7931034482758621]",0.8706896551724138,"[0.7844827586206896, 0.9482758620689655]",0.8706896551724138,"[0.7758620689655172, 0.9482758620689655]",0.7632183908045976,"[0.6723994252873563, 0.8511494252873562]",0.7796286843953761,"[0.6878067113916271, 0.8629268461167727]",0.8057798155817839,"[0.7266307355550865, 0.8806793299772167]",0.21982758620689655,"[0.19827586206896552, 0.23706896551724138]",0.09261727712547957,"[0.07754198271074823, 0.1085566501584803]",0.9655172413793104,"[0.9137931034482759, 1.0]",1.0,"[1.0, 1.0]",0.8275862068965517,"[0.7758620689655172, 0.8793103448275862]",0.8879310344827587,"[0.8017241379310345, 0.9655172413793104]",0.9396551724137931,"[0.8706896551724138, 0.9913793103448276]",805.4137931034483,"[755.5512931034483, 856.3275862068965]",2.4310344827586206,"[2.189655172413793, 2.6551724137931036]",779.0,1116.2,34.02589994948357,40.79575500800274,1.0,4
C,semantic,58,0.5862068965517241,"[0.46551724137931033, 0.7068965517241379]",0.7758620689655172,"[0.6724137931034483, 0.8793103448275862]",0.7758620689655172,"[0.6724137931034483, 0.8793103448275862]",0.6792624521072798,"[0.5744216954022989, 0.7772569444444444]",0.6864784256638967,"[0.576254594819562, 0.7871621210695554]",0.7358735048589296,"[0.64566083628761, 0.8198129710979778]",0.1939655172413793,"[0.16379310344827586, 0.21982758620689655]",0.07312853960290684,"[0.05856039910221186, 0.0884158433321958]",0.9655172413793104,"[0.9137931034482759, 1.0]",0.9655172413793104,"[0.9137931034482759, 1.0]",0.7801724137931034,"[0.7068965517241379, 0.8491379310344828]",0.8017241379310345,"[0.6982758620689655, 0.896551724137931]",0.8793103448275862,"[0.7931034482758621, 0.9655172413793104]",854.2241379310345,"[801.9120689655173, 905.0172413793103]",2.3448275862068964,"[2.0172413793103448, 2.6551724137931036]",914.5,1145.85,17.583350010681897,21.184309921227396,1.0,4
C,bm25,58,0.5689655172413793,"[0.4482758620689655, 0.6896551724137931]",0.8275862068965517,"[0.7241379310344828, 0.9137931034482759]",0.8275862068965517,"[0.7241379310344828, 0.9137931034482759]",0.6813423645320197,"[0.5810319170771757, 0.7783482142857142]",0.7046489287908467,"[0.605578847032538, 0.803062210269809]",0.7429327207099681,"[0.6590105563698987, 0.8235527261332226]",0.20689655172413793,"[0.1810344827586207, 0.22844827586206898]",0.0938557309400691,"[0.07658817718069877, 0.11156944999556774]",0.9310344827586207,"[0.8620689655172413, 0.9827586206896551]",0.9827586206896551,"[0.9482758620689655, 1.0]",0.7068965517241379,"[0.6379310344827587, 0.7758620689655172]",0.8620689655172413,"[0.7758620689655172, 0.9482758620689655]",0.896551724137931,"[0.8103448275862069, 0.9655172413793104]",766.3275862068965,"[718.6202586206897, 816.7422413793104]",2.0,"[1.706896551724138, 2.293103448275862]",727.5,1175.45,10.681499959900975,13.153195037739351,1.0,4
